id,source_posting_id,title,company,location,country,city,federal_state,description,salary_min,salary_max,salary_period,salary_is_estimated,salary_confidence,required_skills,posted_date,posted_at,expires_at,last_seen_at,source,remote_status,role_type,occupation_group,experience_level,employment_type,url,application_url,company_career_url,source_legal_basis,ingestion_batch_id
train_001,seed_train_001,Nurse,Charite Care Services GmbH,"Berlin, Germany",Germany,Berlin,Berlin,Patient care and shift coordination in a hospital team.,41000,53000,yearly,false,1.0,Patient Care;Documentation;German B2,2025-12-01,2025-12-01T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Nurse&wo=Berlin,https://www.arbeitsagentur.de/jobsuche/suche?was=Nurse&wo=Berlin,https://www.charitecareservicesgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_002,seed_train_002,Medical Assistant,Klinik Pflege Partner GmbH,"Hamburg, Germany",Germany,Hamburg,Hamburg,Support patient intake diagnostics scheduling and clinical documentation.,33000,43000,yearly,false,1.0,Patient Intake;Medical Terminology;Scheduling,2025-12-02,2025-12-02T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,entry,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Medical+Assistant&wo=Hamburg,https://www.arbeitsagentur.de/jobsuche/suche?was=Medical+Assistant&wo=Hamburg,https://www.klinikpflegepartnergmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_003,seed_train_003,Physiotherapist,MediNord GmbH,"Munich, Germany",Germany,Munich,Bavaria,Deliver rehabilitation plans and mobility training for outpatient care.,38000,51000,yearly,false,1.0,Rehabilitation;Mobility Training;Patient Care,2025-12-03,2025-12-03T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Physiotherapist&wo=Munich,https://www.arbeitsagentur.de/jobsuche/suche?was=Physiotherapist&wo=Munich,https://www.medinordgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_004,seed_train_004,Elderly Care Specialist,RehaPlus Deutschland GmbH,"Cologne, Germany",Germany,Cologne,North Rhine-Westphalia,Coordinate elderly care routines documentation and family communication.,35000,47000,yearly,false,1.0,Elderly Care;Documentation;German B2,2025-12-04,2025-12-04T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Elderly+Care+Specialist&wo=Cologne,https://www.arbeitsagentur.de/jobsuche/suche?was=Elderly+Care+Specialist&wo=Cologne,https://www.rehaplusdeutschlandgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_005,seed_train_005,Radiology Technician,Charite Care Services GmbH,"Frankfurt, Germany",Germany,Frankfurt,Hesse,Operate imaging equipment and support safe diagnostic workflows.,42000,56000,yearly,false,1.0,Radiology;Patient Safety;Medical Devices,2025-12-05,2025-12-05T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Radiology+Technician&wo=Frankfurt,https://www.arbeitsagentur.de/jobsuche/suche?was=Radiology+Technician&wo=Frankfurt,https://www.charitecareservicesgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_006,seed_train_006,Nurse,Klinik Pflege Partner GmbH,"Stuttgart, Germany",Germany,Stuttgart,Baden-Wuerttemberg,Patient care and shift coordination in a hospital team.,41000,53000,yearly,false,1.0,Patient Care;Documentation;German B2,2025-12-06,2025-12-06T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Nurse&wo=Stuttgart,https://www.arbeitsagentur.de/jobsuche/suche?was=Nurse&wo=Stuttgart,https://www.klinikpflegepartnergmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_007,seed_train_007,Medical Assistant,MediNord GmbH,"Dusseldorf, Germany",Germany,Dusseldorf,North Rhine-Westphalia,Support patient intake diagnostics scheduling and clinical documentation.,33000,43000,yearly,false,1.0,Patient Intake;Medical Terminology;Scheduling,2025-12-07,2025-12-07T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,entry,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Medical+Assistant&wo=Dusseldorf,https://www.arbeitsagentur.de/jobsuche/suche?was=Medical+Assistant&wo=Dusseldorf,https://www.medinordgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_008,seed_train_008,Physiotherapist,RehaPlus Deutschland GmbH,"Leipzig, Germany",Germany,Leipzig,Saxony,Deliver rehabilitation plans and mobility training for outpatient care.,38000,51000,yearly,false,1.0,Rehabilitation;Mobility Training;Patient Care,2025-12-08,2025-12-08T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Physiotherapist&wo=Leipzig,https://www.arbeitsagentur.de/jobsuche/suche?was=Physiotherapist&wo=Leipzig,https://www.rehaplusdeutschlandgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_009,seed_train_009,Elderly Care Specialist,Charite Care Services GmbH,"Dresden, Germany",Germany,Dresden,Saxony,Coordinate elderly care routines documentation and family communication.,35000,47000,yearly,false,1.0,Elderly Care;Documentation;German B2,2025-12-09,2025-12-09T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Elderly+Care+Specialist&wo=Dresden,https://www.arbeitsagentur.de/jobsuche/suche?was=Elderly+Care+Specialist&wo=Dresden,https://www.charitecareservicesgmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
train_010,seed_train_010,Radiology Technician,Klinik Pflege Partner GmbH,"Bremen, Germany",Germany,Bremen,Bremen,Operate imaging equipment and support safe diagnostic workflows.,42000,56000,yearly,false,1.0,Radiology;Patient Safety;Medical Devices,2025-12-10,2025-12-10T09:00:00,2026-12-31T23:59:59,2026-05-20T12:00:00,legal_demo_csv,onsite,Healthcare,Healthcare and Nursing,mid,permanent,https://www.arbeitsagentur.de/jobsuche/suche?was=Radiology+Technician&wo=Bremen,https://www.arbeitsagentur.de/jobsuche/suche?was=Radiology+Technician&wo=Bremen,https://www.klinikpflegepartnergmbh.example/careers,Local legal seed data for portfolio use.,seed-train-2025-12-expanded
